mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.087,0.994,0.045,0.011,0.02,0.006,0.082,52.357,0.0
8.253,0.995,0.033,0.011,0.015,0.005,0.065,53.78,0.0
8.17,0.995,0.049,0.012,0.015,0.005,0.081,51.659,0.0
8.445,0.995,0.042,0.012,0.016,0.005,0.075,52.648,0.0
8.116,0.995,0.037,0.012,0.015,0.005,0.069,51.842,0.0
8.719,0.995,0.04,0.013,0.017,0.006,0.075,51.75,0.0
8.437,0.995,0.045,0.012,0.016,0.005,0.078,51.401,0.0
8.34,0.995,0.048,0.012,0.016,0.005,0.082,51.529,0.0
8.035,0.995,0.037,0.013,0.017,0.005,0.071,51.254,0.0
8.244,0.996,0.039,0.011,0.014,0.005,0.07,51.642,0.0
8.652,0.995,0.051,0.016,0.019,0.006,0.091,51.649,0.0
8.311,0.995,0.034,0.012,0.015,0.005,0.065,51.776,0.0
8.165,0.996,0.032,0.011,0.013,0.006,0.063,53.3,0.0
8.008,0.996,0.041,0.011,0.015,0.004,0.072,59.085,0.0
7.305,0.995,0.041,0.01,0.016,0.004,0.071,52.046,0.0
7.254,0.993,0.046,0.013,0.02,0.006,0.084,52.272,0.0
7.296,0.992,0.038,0.013,0.024,0.007,0.082,51.959,0.0
7.526,0.995,0.035,0.014,0.014,0.006,0.067,52.685,0.0
7.494,0.995,0.034,0.012,0.015,0.005,0.066,52.133,0.0
7.938,0.995,0.047,0.013,0.016,0.005,0.081,51.59,0.0
7.794,0.996,0.028,0.01,0.012,0.004,0.055,50.837,0.0
8.128,0.995,0.056,0.012,0.017,0.005,0.09,51.418,0.0
7.52,0.995,0.045,0.011,0.017,0.004,0.078,52.401,0.0
8.189,0.996,0.048,0.011,0.014,0.005,0.077,52.597,0.0
